2017-07-27 18:10:28,799 [Worker-195] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.hello.netty:hellonetty:0.0.1-SNAPSHOT @ F:\study\netty\src\hellonetty\pom.xml.
2017-07-27 18:10:29,512 [Worker-195] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.100.19.86:8081/nexus/content/groups/public/io/netty/netty/4.0.49.Final/netty-4.0.49.Final.pom
2017-07-27 18:10:29,516 [Worker-195] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for io.netty:netty:jar:4.0.49.Final is missing, no dependency information available
2017-07-27 18:10:29,756 [Worker-195] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.100.19.86:8081/nexus/content/groups/public/io/netty/netty/4.0.49.Final/netty-4.0.49.Final.jar
2017-07-27 18:10:29,918 [Worker-195] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-27 18:10:29,920 [Worker-195] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-27 18:10:29,921 [Worker-195] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-27 18:10:29,922 [Worker-195] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-27 18:10:40,867 [Worker-194] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-07-27 18:10:41,187 [Worker-194] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.hello.netty:hellonetty:0.0.1-SNAPSHOT @ F:\study\netty\src\hellonetty\pom.xml.
2017-07-27 18:10:41,190 [Worker-194] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for io.netty:netty:jar:4.0.49.Final is missing, no dependency information available
2017-07-27 18:10:41,300 [Worker-194] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /hellonetty/src/main/java
2017-07-27 18:10:41,300 [Worker-194] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /hellonetty/src/main/resources
2017-07-27 18:10:41,301 [Worker-194] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /hellonetty/src/test/java
